"Years","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"        Hawaii (People)","6070","6061","5782","5834","6188","6246","6335","6918","7620","7921","7220","6530","6412","6458","2490","5967"
"        Idaho (People)","1749","1464","1939","2346","2199","1968","1781","2104","1966","2247","2037","2012","2315","2315","1889","1998"
"        Illinois (People)","15487","14724","14055","14395","14009","14144","13425","13107","13177","11590","10798","10643","10199","10431","7958","9212"
"        Indiana (People)","7358","7395","6984","6452","6196","6259","6096","5971","5863","5798","5438","5258","5471","5625","4975","5449"
"        Iowa (People)","2734","3346","3380","3014","3134","2928","3084","3122","3081","3064","2756","2749","2315","2647","2534","2419"
"        Kansas (People)","2111","1738","1892","2024","2511","2684","2693","2783","2588","2255","2287","2216","2381","2449","1803","2397"
"        Kentucky (People)","8061","8137","5999","6623","6034","5230","5245","5089","4538","4237","4025","3688","4079","4011","2544","3984"
"        Louisiana (People)","5494","5481","12504","12482","9291","7772","5226","4606","4081","3994","3305","3059","2941","3173","2131","7373"
"        Maine (People)","2638","2632","2444","2379","2447","2393","3016","2726","2372","2241","2280","2516","2106","2097","2063","4411"
"        Maryland (People)","9628","9219","11698","10845","10208","9454","8205","7856","8390","7689","7247","7144","6561","6360","4550","5349"
"        Massachusetts (People)","15127","14506","15482","16646","16664","17501","19029","21237","21135","19608","17565","20068","18471","17975","15079","15507"
"        Michigan (People)","28295","28248","14005","13058","13185","12592","11527","12227","10516","9316","9051","8351","8575","8638","6757","8206"
"        Minnesota (People)","7323","7644","7718","7869","7495","7744","8214","8377","7546","7341","7668","7243","7977","7940","6775","7917"
"        Mississippi (People)","1377","1961","2797","2743","2306","2413","2403","2226","1983","1738","1472","1352","1184","1107","6757","1196"
"        Missouri (People)","6247","7687","6959","8122","8989","10237","8581","7282","6482","6194","6037","5883","6179","6527","4926","5992"
"        Montana (People)","1150","1417","1196","1615","1768","1833","1878","1745","1709","1418","1529","1405","1357","1545","1801","1585"
"        Nebraska (People)","3531","3985","3718","3877","3548","3789","3145","3026","2744","2754","2501","2421","2365","2404","1935","2246"
"        Nevada (People)","8642","8726","11089","11205","9150","8497","7039","8582","8743","7398","7833","7544","7169","6900","7090","7618"
"        New Hampshire (People)","2248","2019","1645","1574","1469","1496","1447","1376","1445","1366","1456","1450","1396","1675","1491","1605"
"        New Jersey (People)","17314","13832","13169","13737","14137","13025","12002","11671","10098","8895","8536","9398","8862","9662","8262","8752"
"        New Mexico (People)","3015","3015","3475","3475","3601","3245","2819","2746","2629","2263","2482","2551","3241","3333","2747","2560"
"        New York (People)","62601","61125","61067","65606","63445","69566","77430","80590","88250","86352","89503","91897","92091","91271","78920","74178"
"        North Carolina (People)","11802","12411","12918","12191","12896","13524","12168","11491","10685","9559","8962","9268","9314","9280","7249","9382"
"        North Dakota (People)","636","615","773","799","603","688","2069","1258","1305","923","1089","542","557","541","548","610"
"        Ohio (People)","11264","12912","12700","12569","13030","13977","12325","11823","11182","10404","10095","10249","10345","10655","7915","10654"
"        Oklahoma (People)","4221","3846","4838","5229","4625","5032","4408","4191","3777","4107","4199","3871","3944","3932","2694","3754"
"        Oregon (People)","17590","20653","17309","19492","17254","15828","13822","12164","13226","13238","13953","14476","15876","14655","9048","17959"
"        Pennsylvania (People)","16220","15378","15096","14516","15096","14736","15086","15333","15421","15339","14138","13512","13199","13375","10339","12691"
"        Rhode Island (People)","1372","1196","1607","1282","1070","1277","1384","1190","1111","1160","1180","1101","1055","1104","1267","1577"
"        South Carolina (People)","5660","5660","4473","4473","5093","4915","6544","5057","5354","5051","3916","3933","4172","4287","3207","3608"
"        South Dakota (People)","579","579","731","731","826","859","1094","885","1036","1072","943","1159","995","1058","817","1389"
"        Tennessee (People)","11210","9705","10532","10276","9113","9426","9528","9415","9123","8779","8309","7883","7467","7256","6823","10567"
"        Texas (People)","39788","40190","36761","35121","36911","34052","29615","28495","23678","23122","23548","25310","25848","27229","17295","24432"
"        Utah (People)","3011","3434","3795","3284","3130","3527","3277","3081","3025","2807","2852","2876","2798","3131","3565","3557"
"        Vermont (People)","1035","954","1214","1220","1144","1160","1454","1559","1523","1117","1225","1291","1089","1110","2591","2780"
"        Virginia (People)","9746","8469","8852","9080","8816","8424","7625","7020","7001","6268","6067","5975","5783","5957","177","175"
"        Washington (People)","23379","21954","22782","22878","20439","20504","17760","18442","19419","20827","21112","22304","21577","22923","11511","25211"
"        West Virginia (People)","2409","2016","1667","2264","2211","2410","2240","2013","1835","1387","1309","1243","1397","1341","1138","1375"
"        Wisconsin (People)","5648","5449","6525","6333","5785","6027","6104","6055","6057","5685","5027","4907","4538","4515","4237","4775"
"        Wyoming (People)","537","751","515","579","1038","1813","953","757","798","857","873","639","548","612","405","648"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Department of Housing and Urban Development","Annual Homelessness Assistance Report",,"https://www.hudexchange.info/homelessness-assistance/ahar/#2019-reports","","2020","Yearly"
"Exported on: 07/23/2023"
